lock_key	name	version	is_direct_name	owner_count	owners	owner_groups	action
object-assign@4.1.1	object-assign	4.1.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
object-inspect@1.13.4	object-inspect	1.13.4	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
on-finished@2.4.1	on-finished	2.4.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
once@1.4.0	once	1.4.0	false	2	@modelcontextprotocol/sdk,better-sqlite3	runtime	replace-through-runtime-owner
onetime@7.0.0	onetime	7.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
ora@9.3.0	ora	9.3.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
parse-ms@3.0.0	parse-ms	3.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
parse-ms@4.0.0	parse-ms	4.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
parseurl@1.3.3	parseurl	1.3.3	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
path-key@3.1.1	path-key	3.1.1	false	2	@modelcontextprotocol/sdk,node-llama-cpp	runtime	replace-through-runtime-owner
path-to-regexp@8.4.2	path-to-regexp	8.4.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
pathe@2.0.3	pathe	2.0.3	false	1	vitest	dev	removed-with-js-toolchain
pathval@2.0.1	pathval	2.0.1	false	1	vitest	dev	removed-with-js-toolchain
picocolors@1.1.1	picocolors	1.1.1	false	1	vitest	dev	removed-with-js-toolchain
picomatch@2.3.2	picomatch	2.3.2	true	1	fast-glob	runtime	covered-in-direct-plan
picomatch@4.0.4	picomatch	4.0.4	true	2	picomatch,vitest	dev,runtime	covered-in-direct-plan
pkce-challenge@5.0.1	pkce-challenge	5.0.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
postcss@8.5.8	postcss	8.5.8	false	1	vitest	dev	removed-with-js-toolchain
prebuild-install@7.1.3	prebuild-install	7.1.3	false	1	better-sqlite3	runtime	replace-through-runtime-owner
pretty-bytes@6.1.1	pretty-bytes	6.1.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
pretty-ms@8.0.0	pretty-ms	8.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
pretty-ms@9.3.0	pretty-ms	9.3.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
proper-lockfile@4.1.2	proper-lockfile	4.1.2	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
proxy-addr@2.0.7	proxy-addr	2.0.7	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
pump@3.0.4	pump	3.0.4	false	1	better-sqlite3	runtime	replace-through-runtime-owner
qs@6.15.0	qs	6.15.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
queue-microtask@1.2.3	queue-microtask	1.2.3	false	1	fast-glob	runtime	replace-through-runtime-owner
range-parser@1.2.1	range-parser	1.2.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
raw-body@3.0.2	raw-body	3.0.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
rc@1.2.8	rc	1.2.8	false	2	better-sqlite3,node-llama-cpp	runtime	replace-through-runtime-owner
readable-stream@3.6.2	readable-stream	3.6.2	false	1	better-sqlite3	runtime	replace-through-runtime-owner
require-directory@2.1.1	require-directory	2.1.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
require-from-string@2.0.2	require-from-string	2.0.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
resolve-pkg-maps@1.0.0	resolve-pkg-maps	1.0.0	false	2	tsx,vitest	dev	removed-with-js-toolchain
restore-cursor@5.1.0	restore-cursor	5.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
retry@0.12.0	retry	0.12.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
retry@0.13.1	retry	0.13.1	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
reusify@1.1.0	reusify	1.1.0	false	1	fast-glob	runtime	replace-through-runtime-owner
rollup@4.60.1	rollup	4.60.1	false	1	vitest	dev	removed-with-js-toolchain
router@2.2.0	router	2.2.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
run-parallel@1.2.0	run-parallel	1.2.0	false	1	fast-glob	runtime	replace-through-runtime-owner
safe-buffer@5.2.1	safe-buffer	5.2.1	false	1	better-sqlite3	runtime	replace-through-runtime-owner
safer-buffer@2.1.2	safer-buffer	2.1.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
semver@7.7.4	semver	7.7.4	false	2	better-sqlite3,node-llama-cpp	runtime	replace-through-runtime-owner
send@1.2.1	send	1.2.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
serve-static@2.2.1	serve-static	2.2.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
setprototypeof@1.2.0	setprototypeof	1.2.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
shebang-command@2.0.0	shebang-command	2.0.0	false	2	@modelcontextprotocol/sdk,node-llama-cpp	runtime	replace-through-runtime-owner
shebang-regex@3.0.0	shebang-regex	3.0.0	false	2	@modelcontextprotocol/sdk,node-llama-cpp	runtime	replace-through-runtime-owner
side-channel-list@1.0.0	side-channel-list	1.0.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
side-channel-map@1.0.1	side-channel-map	1.0.1	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
side-channel-weakmap@1.0.2	side-channel-weakmap	1.0.2	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
side-channel@1.1.0	side-channel	1.1.0	false	1	@modelcontextprotocol/sdk	runtime	replace-through-runtime-owner
siginfo@2.0.0	siginfo	2.0.0	false	1	vitest	dev	removed-with-js-toolchain
signal-exit@3.0.7	signal-exit	3.0.7	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
signal-exit@4.1.0	signal-exit	4.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
simple-concat@1.0.1	simple-concat	1.0.1	false	1	better-sqlite3	runtime	replace-through-runtime-owner
simple-get@4.0.1	simple-get	4.0.1	false	1	better-sqlite3	runtime	replace-through-runtime-owner
simple-git@3.33.0	simple-git	3.33.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
sleep-promise@9.1.0	sleep-promise	9.1.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
slice-ansi@7.1.2	slice-ansi	7.1.2	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
slice-ansi@8.0.0	slice-ansi	8.0.0	false	1	node-llama-cpp	runtime	replace-through-runtime-owner
source-map-js@1.2.1	source-map-js	1.2.1	false	1	vitest	dev	removed-with-js-toolchain
